,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
158,"frozenset({'G', 'E'})",frozenset({'B'}),1,0.891891892,0.891891892,0.891891892,1,0,1
159,frozenset({'B'}),"frozenset({'G', 'E'})",0.891891892,1,0.891891892,1,1,0,inf
160,frozenset({'G'}),"frozenset({'B', 'E'})",1,0.891891892,0.891891892,0.891891892,1,0,1
161,frozenset({'E'}),"frozenset({'B', 'G'})",1,0.891891892,0.891891892,0.891891892,1,0,1
162,"frozenset({'B', 'E'})",frozenset({'H'}),0.891891892,1,0.891891892,1,1,0,inf
163,"frozenset({'B', 'H'})",frozenset({'E'}),0.891891892,1,0.891891892,1,1,0,inf
164,"frozenset({'E', 'H'})",frozenset({'B'}),1,0.891891892,0.891891892,0.891891892,1,0,1
165,frozenset({'B'}),"frozenset({'E', 'H'})",0.891891892,1,0.891891892,1,1,0,inf
166,frozenset({'E'}),"frozenset({'B', 'H'})",1,0.891891892,0.891891892,0.891891892,1,0,1
167,frozenset({'H'}),"frozenset({'B', 'E'})",1,0.891891892,0.891891892,0.891891892,1,0,1
168,"frozenset({'B', 'E'})",frozenset({'I'}),0.891891892,0.972972973,0.864864865,0.96969697,0.996632997,-0.002921841,0.891891892
169,"frozenset({'B', 'I'})",frozenset({'E'}),0.864864865,1,0.864864865,1,1,0,inf
170,"frozenset({'E', 'I'})",frozenset({'B'}),0.972972973,0.891891892,0.864864865,0.888888889,0.996632997,-0.002921841,0.972972973
171,frozenset({'B'}),"frozenset({'E', 'I'})",0.891891892,0.972972973,0.864864865,0.96969697,0.996632997,-0.002921841,0.891891892
172,frozenset({'E'}),"frozenset({'B', 'I'})",1,0.864864865,0.864864865,0.864864865,1,0,1
173,frozenset({'I'}),"frozenset({'B', 'E'})",0.972972973,0.891891892,0.864864865,0.888888889,0.996632997,-0.002921841,0.972972973
174,"frozenset({'B', 'J'})",frozenset({'E'}),0.864864865,1,0.864864865,1,1,0,inf
175,"frozenset({'B', 'E'})",frozenset({'J'}),0.891891892,0.945945946,0.864864865,0.96969697,1.025108225,0.021183346,1.783783784
176,"frozenset({'J', 'E'})",frozenset({'B'}),0.945945946,0.891891892,0.864864865,0.914285714,1.025108225,0.021183346,1.261261261
